Puzzle ID,Puzzle String,Backtracking Time,Backtracking Nodes,Backtracking Backtracks,Backtracking Solved,Forward Checking Time,Forward Checking Nodes,Forward Checking Backtracks,Forward Checking Solved,MRV Time,MRV Nodes,MRV Backtracks,MRV Solved
64,809000704002608900000304000600000008400901006000402000010000090003000500004050200,0.2626,2391,2335,0,7.3551,1507,2014,0,0.2861,74,19,0
65,800010005090000803405008000009501078050000010160704300000100507902000080500060001,0.5368,4666,4615,0,3.7308,855,1183,0,0.4156,132,88,0
66,008500000020078030000062005057000008061030940400000510100820000070190080000007600,0.6622,6181,6129,0,6.5970,1459,1952,0,0.2534,74,23,0
67,500000002009000500082000710800010007006030400010906030000873000000000000070265090,0.9343,10930,10875,0,15.0431,3014,4666,0,0.5041,123,72,0
68,000020000200401007500807001000203000000080000048000250010905040705000108300000009,7.6265,68542,68487,0,49.6112,10035,14881,0,0.6048,154,112,0
69,320050014000000000008401600070906050050070090000000000010090060500607009200503008,0.5970,4775,4721,0,3.1467,676,980,0,0.5151,136,86,0
70,900200034200073000007100800080507203020030040305604070002005900000760002160002007,0.0557,506,458,0,0.7059,187,183,0,0.1911,60,13,0
71,092000600000013020300400500004320005080000040700054900006009001070840000009000850,0.4963,4217,4164,0,6.4028,1435,2045,0,1.2059,282,258,0
72,300907004500000003070050010900000006710804032030000080050179040000000000290503067,0.7450,7637,7586,0,3.2237,683,967,0,0.2016,71,21,0
73,089040500130005000060200070090001600600050002002300080070002010000500096006080720,0.8755,7531,7479,0,10.1005,2234,3122,0,0.7778,192,156,0
74,000001480580000160701000050004790000000030000000042900050000604097000035036400000,0.3614,3076,3022,0,3.0234,633,907,0,1.9665,458,444,0
75,000812000900345006050090020007000100015000630400000008100060005030000060508000201,3.8589,32600,32547,0,32.7866,6866,10138,0,1.3110,307,291,0
76,005001400010000360349200507100907200000000000008602005801005673037000020004700800,0.2283,1952,1903,0,0.9105,217,262,0,0.2873,81,36,0
77,000109000020040030030502070004010800010406020000000000082000350000301000360080019,14.6332,126250,126196,0,138.2260,28962,42746,0,0.8583,221,188,0
78,701000509090147030000000000800904002030050090000070000040365020309010405200090003,0.3594,3017,2966,0,2.2808,556,683,0,0.3542,104,56,0
79,200000009000000000040729050000301000001000400070090030020605040900108003760000018,51.7998,457918,457863,0,90.7172,18752,29660,0,0.4470,160,114,0
80,050000000009460005004500390000070840070904010062050000083006200500038400000000030,0.8858,10381,10328,0,11.3212,2343,3540,0,0.1960,59,8,0
81,030050040400000006070603080000000000002709100700318009050030090600104008000000000,12.2695,115594,115538,0,47.8944,8889,16147,0,0.8399,203,160,0
82,300000006010530070000006510009053002003000700500870900034600000090014020600000008,0.1175,1086,1033,0,1.2128,264,336,0,1.5282,383,353,0
83,002010600000506000065278940076080590049000160000609000004000800000103000610050039,0.1770,1657,1608,0,3.0280,669,859,0,0.2736,86,43,0
84,000806000500020008001030400030060020002105700000000000080000070007304900100902005,1.1968,12004,11948,0,12.9422,2617,3774,0,0.3377,92,41,0
85,340000008008000703075004620006487000000105000000369800017200360604000100800000097,0.1982,1843,1794,0,1.2904,300,365,0,0.2560,78,30,0
86,209400000081000003060000940000100350850609024014002000038000090600000430000005608,0.1500,1262,1211,0,1.9751,471,583,0,0.4484,118,73,0
87,030008050500200807070010000800020030003906700020040005000070060205009003090300040,0.1958,1972,1919,0,2.4783,517,703,0,0.1968,55,3,0
88,000002017061000000400100900005010043900608001610020500006005009000000380180900000,0.6105,6856,6803,0,10.0331,2138,2944,0,0.4696,125,76,0
89,021000003000023064600008000006000090309605402050000600000700006970280000200000580,0.2609,2323,2270,0,1.8401,382,508,0,0.2609,80,28,0
90,000050090009706508007000300098200000603508409000009850006000900302805100070060000,0.4945,4893,4842,0,7.6409,1626,2280,0,0.3310,96,51,0
91,060003080807005009000960020530702900008000400002806013010089000900100806080600090,0.0626,585,536,0,0.7191,177,185,0,0.3334,94,47,0
92,008040300040302070000958000002000800860000037907030205083020490700000002006000700,0.2266,2297,2246,0,1.7340,368,540,0,0.3191,88,39,0
93,004600070750300010006000204000706052000000000290504000508000300060008029040003800,0.5932,5190,5137,0,4.5516,994,1378,0,0.5057,127,82,0
94,030000090750020038020387010900000002007060300000108000080000050006030400000274000,0.0672,618,564,0,0.8825,189,204,0,0.1915,54,0,0
95,080005600002001005700020040830702000006000900000903018060040002300200500007100060,0.3980,3560,3507,0,4.9623,1070,1552,0,0.7368,194,151,0
96,500200009006001700090038040085000001009050800600000530060820050002600400700003002,0.8062,7256,7204,0,7.7767,1709,2469,0,1.3920,334,304,0
97,002000600000408000090010070009000100746000893500307006005000700800509002060783010,0.0855,773,722,0,1.0909,277,328,0,0.1590,51,0,0
98,002007600003510000400080035200000070018020460030000002360040001000039700004600300,0.1336,1192,1140,0,1.9351,426,570,0,0.3064,86,37,0
99,001000700009807100800305004020070030050000060300000002000401000940502017000030000,0.2636,2221,2166,0,3.7517,809,1035,0,0.4939,138,89,0
100,009100000000060007204000050300004100050080030001600002070000405900020000000009600,2.8680,26781,26723,0,34.6116,6719,10153,0,1.1388,271,244,0
101,007049300010000000040510020056000002001060400900000580020086050000000060005130200,2.9788,26190,26136,0,26.3665,5335,8325,0,0.8529,224,184,0
102,080020030001090800600000001030080050700000004040502060900207003000901000060000090,3.2019,28148,28092,0,46.9694,9760,13761,0,6.3096,1478,1510,0
103,600030001040719060080000050800102009207000305004060700000020000020000090000307000,0.5510,4077,4022,0,2.2024,462,604,0,0.7594,178,137,0
104,000109000300000004900408002400000005070020040009607300003000800020090070180050093,0.4066,4368,4314,0,5.7177,1203,1724,0,0.7558,183,143,0
105,290000503000003009803902600025704300000000000009608450002807905900300000504000071,0.1743,1408,1359,0,1.0996,244,332,0,0.2800,79,33,0
106,000050900031024080700000040080602000310000065000105020040000003020580410009040000,0.1480,1311,1258,0,2.3238,519,690,0,0.2389,65,13,0
107,000001000900360201800090067006007000730000014000100500320040006408013002000700000,4.0693,37461,37408,0,8.2762,1694,2624,0,0.9998,248,217,0
108,040507019020000300000000005502300400010904020009002701300000000007000080280109030,0.2078,2045,1992,0,2.8323,614,796,0,0.2740,77,27,0
109,005209400390000012000000000400000003031080670000010000050106020608090701070804060,1.2620,11764,11712,0,7.6402,1690,2364,0,0.2170,63,13,0
110,010307020000409000009020400600000008095000270020050010050000060280090057001503800,0.0686,633,581,0,0.7435,172,186,0,1.2793,312,277,0
111,800107000034090070500008200003002008000000000200500600001600002080020140000809005,14.6531,120745,120690,0,87.4662,18507,28923,0,0.6435,177,134,0
112,050470900000015006200006000024000001890000054500000820000300007100760000008094010,0.0650,580,527,0,0.7595,180,191,0,0.2861,80,29,0
113,300801004000040000490000071010000050003107900900502008008309100000010000070204080,0.2941,2610,2557,0,4.0660,932,1307,0,0.4620,134,88,0
114,070050040000314000000902000061000580009020300308060402904000608600000001000000000,0.2114,1901,1846,0,1.4036,286,379,0,0.3538,91,38,0
115,840701063000000000012000950000000000070612030400000001600080009083020510004000700,39.0831,360251,360197,0,224.9741,45404,74555,0,0.6002,146,106,0
116,400000007007080200820050046002060700080000050300195002018000420000000000003408900,0.6448,6472,6419,0,11.9078,2498,3332,0,0.6523,164,116,0
117,009000300507301809360000051000050000050907020000182000408000706920000083000000000,0.5923,5431,5378,0,9.8371,1972,2927,0,1.1331,272,236,0
118,080002600090004017700560000810000500009040700006000028000083005940200080008100070,0.1504,1408,1356,0,1.9100,412,549,0,0.5523,143,100,0
119,001009000000050000009402305908107200030000080006205903703506100000070000000900400,0.3970,4373,4320,0,3.9727,834,1129,0,0.2695,74,23,0
120,000104000200030004609000108820000069000080000090705010000070000380000095005000600,1.0027,7504,7448,0,6.9229,1524,2173,0,1.5937,381,357,0
121,087050190000801000100090005000243000003000700054000930038574610040000070000060000,0.1441,1429,1377,0,2.7473,584,797,0,0.3430,87,44,0
122,079006420800000000500907000043000102000030000108000760000204006000000004012500370,2.0161,17222,17168,0,8.9636,1858,2868,0,1.4178,348,323,0
123,100000004090000070537000216049070520300104009000090000006040900000020000000603000,0.1584,1357,1302,0,2.5867,553,751,0,0.3707,90,38,0
124,609703008000004300020800004910080406000105000804060031200006070001900000400502109,0.1137,1121,1072,0,1.0307,237,278,0,0.1568,49,0,0
125,760000024901060708020000010000070000000106000608502401005000200200801005000305000,0.0360,284,231,0,0.5063,129,121,0,0.1863,53,0,0
126,860000009400006002002400180005002000041000260000300400054009600900500008200000054,0.6444,5709,5656,0,7.6729,1671,2400,0,0.5423,133,87,0
127,000030800005008200740000060010040000400903005000060040050000021002100900009080000,1.0745,10051,9994,0,9.0858,1780,2655,0,3.4217,800,817,0
128,000050000809007042072009000400001067060070080790400005000900210320100906000020000,0.0865,957,905,0,1.5286,337,404,0,0.3536,96,46,0
129,000801000700000004390050068000602000006010300074000680407060105000000000908000406,0.1690,1875,1821,0,1.6212,344,461,0,0.2148,63,10,0
130,000724000007000500040809010900000007070090030035000420000605000006030800020000070,0.8314,7883,7827,0,2.1231,429,603,0,0.1991,56,0,0
131,002008030300060000009004706807000000090030080000000604406900100000040003010700900,3.0650,26089,26033,0,30.2385,6047,9399,0,1.3945,321,293,0
132,031000450002000700750000081100603008008405600000728000060000030403000807000080000,0.9789,8802,8749,0,10.5584,2167,3190,0,1.6595,391,363,0
133,003000080020096000600000010080460029700020001910078060050000003000950040070000600,0.1801,1802,1748,0,1.8906,409,517,0,0.4826,123,77,0
134,020000050400000003005609800000000000000785000006903200004070100097206480050401070,11.0015,101125,101072,0,20.5665,4383,6958,0,0.2673,86,35,0
135,060000300000564002900030000070901020019020670050603080000050006400798000005000090,0.2122,2267,2215,0,2.6583,583,791,0,0.1682,52,0,0
136,000040000005907200021000390000391000030000020070806010403000801000104000008000700,0.4539,4391,4336,0,4.3996,897,1294,0,0.3201,88,37,0
137,000000000045030180000002059070080000602107504000040070460900000097050360000000000,3.1659,33994,33939,0,33.2740,6624,10372,0,0.4227,113,63,0
138,005000700600301009003080100000507000000090000204000307000000000052060970316000482,0.4307,3713,3659,0,0.9568,220,255,0,1.1250,280,249,0
139,000050000105000309049000520020609040000080000080704010092040150000000000700201008,0.4143,3392,3338,0,1.1444,259,328,0,0.9864,235,193,0
140,090030040410000058005000700506000901070000030000010000061902580000158000800040009,2.2161,17657,17604,0,17.7555,4286,5895,0,0.3490,96,47,0
141,000000840000540006800000002030950060014000290050072080600000003400027000081000000,2.5303,23531,23476,0,16.7248,3719,5328,0,0.7138,204,157,0
142,970040052005000300300050007039000760000906000000000000000000000058070230700432008,1.0140,7972,7917,0,2.2273,483,661,0,1.0220,242,201,0
143,703000102050040060600000003400803005300297004000104000500030008007000500080405020,0.1838,1847,1795,0,1.2607,291,357,0,0.3512,98,50,0
144,100000003000517000060000020000205000800103004001060300050000030009020500740000068,5.5708,53018,52962,0,68.8032,14272,21461,0,1.2040,284,252,0
145,002010600030004020900560003060040200103805709009070040300057002070200030005030800,0.0145,160,111,0,0.3621,91,69,0,0.1608,49,0,0
146,200400008000060039009070400320000007900307004100000025005030200860090000400005001,1.9514,17474,17421,0,19.4587,4375,6019,0,0.6347,167,120,0
147,500000001010080020260000048000000000000109000040807010900408006070020080002060500,299.0631,2613183,2613127,0,907.1087,182345,305074,0,0.5970,175,123,0
148,060500700020000036508010400000201003002000100300805000007090805980000010005007020,0.0727,750,697,0,1.2922,279,356,0,0.1747,53,0,0
149,607903102001000700040070060090000030200745001010308070000801000100060003002000900,0.0336,346,294,0,0.3316,80,45,0,0.2174,66,15,0
150,060425030005000800010000050056201380000608000100000002090000020070030060002874900,2.7195,22813,22761,0,8.2219,1732,2503,0,0.2114,71,21,0
151,300240090090003600007001040060008400030000080005400070070100800002500060050064002,0.3801,3482,3429,0,5.8672,1262,1778,0,1.2594,310,273,0
152,034060010102007000000000008003089100040000070009370400400000000000500709060010830,4.7907,42554,42499,0,57.3170,11837,17428,0,2.9561,716,742,0
153,200000000030028000750603001002800500001050800003007400600309058000460030000000009,0.7968,7888,7834,0,11.7724,2463,3333,0,0.5435,143,97,0
154,102000908030000070009000500907000106000020000080906020040798050800030001000000000,1.3192,11460,11404,0,9.0803,1915,2773,0,0.3281,90,40,0
155,006003080900170000000568001601000530084000190095000806500946000000021005060800200,0.0397,369,320,0,0.6635,169,169,0,0.2189,62,14,0
156,001609400200070600007400091060800000003000500000005060390004100008010005006302800,1.9705,16257,16204,0,10.1737,2178,3471,0,0.3774,98,50,0
157,000010053000000207070502060080420000900000005000087030030804020609000000840030000,3.6789,33189,33134,0,27.3677,5423,8706,0,0.6240,166,124,0
158,000007930000205410000090560001000080040802090030000100064080000073601000082700000,0.0488,457,404,0,0.6580,168,161,0,0.5531,144,96,0
159,000460900004017000000000078306000009010050040800000602950000000000680100008031000,2.8876,27319,27263,0,37.5342,7632,11149,0,0.3580,96,44,0
160,000408000800902007070000090008090600590040082000801000920706054060020030000000000,4.2184,40092,40038,0,41.1233,8227,13580,0,1.1461,291,256,0
161,500006008100083720070000600007035000081000250000140900009000030045320001700500002,0.3560,3385,3334,0,6.1656,1366,1924,0,0.2369,71,21,0
162,001700000040009600720000004010600003060943020500008060900000012006300090000005700,0.4253,4290,4236,0,2.9136,578,878,0,0.6021,147,107,0
163,004039820007008006050000700406003000000010000000800309005000090300500600061970400,0.4572,3843,3789,0,0.8003,174,213,0,0.1758,54,0,0
164,020030090300408001007000800600020003209000608050000040702050409000602000000010000,2.4619,21591,21536,0,21.0969,4326,6213,0,0.4873,117,70,0
165,006000200070030010040509080067000120320090068090206050000481000000000000010020070,0.2285,2305,2252,0,4.0408,849,1078,0,0.2148,59,7,0
166,000000000020050040080379060007105800800000006000698000040000090300000002709010305,2.0574,22330,22275,0,9.1373,1871,2827,0,0.3838,130,79,0
167,430000069000201000800304005080000020000789000100000006701000602090020040003050700,0.1787,1565,1511,0,1.0050,217,268,0,0.1783,54,0,0
168,007100000000093000003820504090050302078201490302040050805012900000580000000004800,0.0221,237,188,0,0.3671,91,68,0,0.2029,59,11,0
169,097000480000000000300402001050030010010000040800090006000040000500601003020305070,9.2505,76296,76240,0,44.8258,9637,14356,0,0.3844,111,60,0
170,000704620507300100640100090800000412000000000461000003050007031004001206036805000,0.1390,1303,1254,0,1.4932,334,434,0,0.2404,73,25,0
171,500006000007890050090100670000070013001040800950010000048001060010067200000900001,0.3391,2920,2868,0,3.5304,795,1073,0,0.3249,89,41,0
172,004300500020806040800000001080764052000905000750218090600000005010602080002009600,0.0362,447,398,0,0.4569,108,100,0,0.2144,62,14,0
173,004000300302040107800010004603000905000536000000201000500070003090000080006804700,0.1098,984,931,0,1.9143,440,547,0,0.1820,53,0,0
174,200059001000000900040218000907801600501000402004905708000473080008000000700580004,0.0400,464,415,0,0.4333,109,91,0,0.2029,63,16,0
175,061902730030060040040050060000000000720000013014000650000408000900317004000000000,1.9982,18496,18442,0,3.5304,696,1035,0,0.5000,125,74,0
176,007060100000030000004152600700000004002301900601809203200090001900000006000504000,0.0551,524,471,0,0.3983,97,74,0,0.1787,53,0,0
177,040070000720804900800290000670000000502000408000000027000026003005907012000010050,0.5629,5264,5211,0,9.1347,1881,2960,0,0.2903,77,26,0
178,710000063003718400000000000000000000204906108000182000090201070000859000130000082,1.4303,13166,13114,0,3.1560,639,1086,0,0.2773,84,35,0
179,900000008086070450025000610000495000090302070000817000037000890049080260800000005,0.0415,391,342,0,0.5766,147,150,0,0.1628,49,0,0
180,507020004000000006000506900040008007020607010700400080009801000200000000400060309,0.0330,327,272,0,0.5203,121,101,0,0.2607,69,17,0
181,005090600002607900001040800400080009060000050000000000980104062000378000100000008,0.1691,1488,1433,0,1.7894,382,492,0,0.4933,119,70,0
182,037000000900001800015026070000100007023607540700008000090810730001200004000000950,0.1090,988,937,0,0.6773,155,174,0,0.4293,127,81,0
183,700819004004705600001603800000070000030000060020158030078030940002000100100000005,0.3412,3126,3075,0,3.8955,797,1193,0,0.4145,104,58,0
184,080000050307010402600237008100903004003060100060000080000000000704020506000070000,0.3047,2360,2306,0,3.0359,671,859,0,0.9052,216,171,0
185,209036001000100900010000004300070010700803002050060003600000040004005000500740608,0.5784,5511,5458,0,9.5889,1960,2885,0,0.3592,94,44,0
186,500607001003000500910050062020000040300000005000823000005000200830010059209000407,0.1857,1620,1568,0,1.9284,437,570,0,0.1651,52,0,0
187,000200370009007020070063800000000105093105780801000000006850090010700600028009000,0.1345,1310,1259,0,2.5390,581,741,0,0.5608,139,100,0
188,065032000004000802080700096500020900800509003002040008620005080408000200000280160,0.4308,4059,4010,0,6.0537,1316,1981,0,1.2244,301,271,0
189,001053000650010000403000200000600097009070800310005000006000502000040073000120900,3.0475,30551,30497,0,34.2932,6988,10340,0,0.2239,66,13,0
190,001009003040002090000673400070000510004000600052000070005267000080900060900800200,0.5156,4382,4329,0,4.9172,1120,1439,0,1.3663,374,344,0
191,205100004000004200041020508050708001007000800100209050704050680006400000500001907,0.2421,2533,2484,0,3.3320,730,1044,0,0.1734,54,6,0
192,060021030500700000280006001000100357007203900936005000600300084000002003070910020,0.0586,575,526,0,1.0661,269,293,0,0.1659,52,4,0
193,000050060009020300000900087018670005040502070500019830320001000006030700050090000,0.6249,7964,7913,0,9.5977,2074,2931,0,0.5037,132,90,0
194,000560900000000060410039000008000050003102800050000600000810043060000000002045000,0.4051,3742,3685,0,4.2147,845,1269,0,3.0605,777,794,0
195,800510009003006100040200080010000408400000006208000090060005010009300700700062003,0.3087,2899,2846,0,2.0891,451,586,0,0.1835,58,7,0
196,900000004060204090020050010700403002002000400850000031070802050000010000000397000,0.9652,9663,9609,0,18.0232,3666,5111,0,1.1274,275,238,0
197,001000800280405093000000000320608014090102080000000000700000008002050900100834002,2.3317,22854,22801,0,24.3748,5166,6997,0,0.1570,53,0,0
198,002300000085004620063000984090402001000090000500801090216000530078200410000003200,0.0812,774,726,0,0.5858,135,151,0,0.1811,57,11,0
199,040010000500000082060090510900630000703804601000059007085070020690000003000040060,0.3626,4029,3978,0,5.8001,1227,1731,0,0.2287,71,21,0
200,010002000000760005004000200700904080040080060080601004003000500900023000000100070,0.7968,7401,7345,0,13.1016,2740,3859,0,2.4670,576,554,0
201,018730000690000000700100060000092035000508000520370000040003009000000026000065140,3.0217,25759,25706,0,30.0245,6368,9362,0,0.3306,89,39,0
202,040000900010000002809052600360005400000000000004800061007130509100000030008000070,1.9528,16935,16880,0,9.8193,1977,3014,0,1.3275,339,320,0
203,200000000000080000043500007910038040008010900030420016100004250000070000000000003,7.9303,81981,81925,0,109.9197,22167,32140,0,0.7911,196,157,0
204,009000500600308004008090100080030060070000020000801000002000700400517008050000040,0.2274,1874,1818,0,1.1531,248,273,0,0.2804,79,26,0
205,300900000070306090100270800000000760800060002042000000003059007050802030000007005,0.2492,2475,2421,0,4.8061,1042,1362,0,1.0799,262,224,0
206,000204005070003910600000000001700803300060001806009200000000002048900030700506000,0.0237,246,192,0,0.3351,81,46,0,0.4148,101,55,0
207,004050900020109730970003008015000080800020005040000210100800043058304090003010800,0.1235,1123,1075,0,1.5893,367,499,0,0.3696,107,65,0
208,700306008009000400001000600600745002000208000090000070003409100010060040000107000,0.4280,4481,4426,0,11.1568,2436,3092,0,0.6285,173,124,0
